,subject,relation,object,subject_type,object_type
124,director Amjad Khan,convinced,late Om Puri,PERSON,NOUN_CHUNK
125,TV actor Ssharad Malhotra,called,time,PERSON,NOUN_CHUNK
126,TV actor Ssharad Malhotra erratic schedule,drew,wedge,NOUN_CHUNK,NOUN_CHUNK
127,Mitegi Lakshman Rekha',taking,self defence classes,PERSON,NOUN_CHUNK
128,region,monitored,unusual deaths,NOUN_CHUNK,NOUN_CHUNK
129,Marriage,keeping,Dipika Kakar,NOUN_CHUNK,PERSON
130,actress,celebrated,Madhurima Tuli first Roza/Iftari,NOUN_CHUNK,PERSON
131,Police,seized,car,NOUN_CHUNK,NOUN_CHUNK
132,Kadamkuan police,arrested,youths,NOUN_CHUNK,NOUN_CHUNK
133,Kadamkuan police,included,Bittu Kumar,NOUN_CHUNK,PERSON
134,Gaana,has,exclusive rights,PERSON,NOUN_CHUNK
135,50 persons,received,counselling,NOUN_CHUNK,NOUN_CHUNK
136,people,have,opinion,NOUN_CHUNK,NOUN_CHUNK
137,malupa maker,swirls,generous portion,NOUN_CHUNK,NOUN_CHUNK
138,Ashok Kumar Jha,met,TMBU registrar Ashok Kumar Jha,PERSON,PERSON
139,Chancellor,cancelled by,approval,NOUN_CHUNK,NOUN_CHUNK
140,kids,make,different shaped pots,NOUN_CHUNK,NOUN_CHUNK
141,kids,paint,kids,NOUN_CHUNK,NOUN_CHUNK
142,effort,helped,film,NOUN_CHUNK,NOUN_CHUNK
143,Actress Jasmin Bhasin,quashed,furphies,PERSON,NOUN_CHUNK
144,developments,make,case,NOUN_CHUNK,NOUN_CHUNK
145,developments,make,case,NOUN_CHUNK,NOUN_CHUNK
146,immediate test,awaits,coalition,NOUN_CHUNK,NOUN_CHUNK
147,Kumaraswamy,seek,trust vote,PERSON,NOUN_CHUNK
148,bank,registered,complaint,NOUN_CHUNK,NOUN_CHUNK
149,the state education department,received,applications,ORG,NOUN_CHUNK
150,film producer,dragged,daughter,NOUN_CHUNK,NOUN_CHUNK
151,court,posted,matter,NOUN_CHUNK,NOUN_CHUNK
152,state government,issued,gazette notification,NOUN_CHUNK,NOUN_CHUNK
153,Citizens,file,Citizens suggestions,ORG,NOUN_CHUNK
154,experts,expressed,doubts,NOUN_CHUNK,NOUN_CHUNK
155,police officer,duped,job seekers,NOUN_CHUNK,NOUN_CHUNK
156,Nataraja idols,include,a Nataraja,NOUN_CHUNK,PERSON
157,government,blocked,internet,NOUN_CHUNK,NOUN_CHUNK
158,Experts,attributed,unusually cool summer,NOUN_CHUNK,NOUN_CHUNK
159,temperatures,crossed,40 degrees mark,NOUN_CHUNK,QUANTITY
160,state,are,heatwave,NOUN_CHUNK,NOUN_CHUNK
161,Tejashwi,leading,RJD,ORG,NOUN_CHUNK
162,Patna Meteorological Centre website,showed,301.4 mm rainfall,NOUN_CHUNK,NOUN_CHUNK
163,Retired DGP Abhyanand and MLC Kedarnath Pandey,attended,event,PERSON,NOUN_CHUNK
164,record rise,irked,commuters,NOUN_CHUNK,NOUN_CHUNK
165,President,blamed,rise,NOUN_CHUNK,NOUN_CHUNK
166,Centre,prioritizing,needs,NOUN_CHUNK,NOUN_CHUNK
167,Chief minister Nitish Kumar,changed,state capital skyline,PERSON,NOUN_CHUNK
168,Educationist,seconded,Manjhi views,ORG,NOUN_CHUNK
169,Economist Shaibal Gupta,supported,CM development agenda,PERSON,NOUN_CHUNK
170,forest department,identified,places,ORG,NOUN_CHUNK
171,Patna divisional forest officer Sunil Kumar Sinha,told,newspaper,PERSON,NOUN_CHUNK
172,Similar vigilante action,claimed,lives,NOUN_CHUNK,NOUN_CHUNK
173,Social media rumours,triggered,widespread mob frenzy,NOUN_CHUNK,NOUN_CHUNK
174,65-year old woman relatives,suffered,injuries,NOUN_CHUNK,NOUN_CHUNK
175,cops,picked up,33 men,NOUN_CHUNK,NOUN_CHUNK
176,Rajiv Singh,done,filing,PERSON,NOUN_CHUNK
177,Rajiv Singh,probed,financial frauds,PERSON,NOUN_CHUNK
178,CBI Bank Security and Fraud Cell,registered,40 cases,ORG,NOUN_CHUNK
179,Rajiv Singh,done,filing,PERSON,NOUN_CHUNK
180,information commissioner D P Sinha,received,threats,PERSON,NOUN_CHUNK
181,Police,probing,similar threats,NOUN_CHUNK,NOUN_CHUNK
182,Human Resource Development minister Ganta Srinivasa Rao,finalized,dates,PERSON,NOUN_CHUNK
183,Students,select,colleges,NOUN_CHUNK,NOUN_CHUNK
184,Students,enter,Students college course options,NOUN_CHUNK,NOUN_CHUNK
185,Konduru mandal,registered,highest improvement rate,NOUN_CHUNK,NOUN_CHUNK
186,district administration,distribute,nutritious laddus,NOUN_CHUNK,NOUN_CHUNK
187,garbage VMC officials,ignoring,cleaning process,NOUN_CHUNK,NOUN_CHUNK
188,Congress,drew,blank,ORG,NOUN_CHUNK
189,Pote,exceeded,Pote,ORG,ORG
190,independents,got,zero votes,NOUN_CHUNK,NOUN_CHUNK
191,complaints,regarding,flight delays,NOUN_CHUNK,NOUN_CHUNK
192,Thane police,have,little information,NOUN_CHUNK,NOUN_CHUNK
193,Shimla water catchment wildlife sanctuary,nurtures,Shimla,NOUN_CHUNK,GPE
194,simple visit,provides,food,NOUN_CHUNK,NOUN_CHUNK
195,ideas,passed,mind,NOUN_CHUNK,NOUN_CHUNK
196,states,made,strides,NOUN_CHUNK,NOUN_CHUNK
197,nature,has,message,NOUN_CHUNK,NOUN_CHUNK
198,Nature,promotes,mutualism,NOUN_CHUNK,NOUN_CHUNK
199,flower,nourishes,bee,NOUN_CHUNK,NOUN_CHUNK
200,river waters,quench,thirst,NOUN_CHUNK,NOUN_CHUNK
201,trees,provide,welcoming home,NOUN_CHUNK,NOUN_CHUNK
202,Civic officials,blamed,narrow drains,NOUN_CHUNK,NOUN_CHUNK
203,Surat Municipal Corporation (,undertook,study,ORG,NOUN_CHUNK
204,river Tapi,facing,issue,ORG,NOUN_CHUNK
205,Water hyacinth,posing,threat,NOUN_CHUNK,NOUN_CHUNK
206,the GST Council,This,GST rates,ORG,NOUN_CHUNK
207,Freshmenu,sees,20 25 % spike,ORG,NOUN_CHUNK
208,Swiggy,broacasting,ads,ORG,NOUN_CHUNK
209,.Police,identified,accused,CARDINAL,NOUN_CHUNK
210,stolen cars,included,sports utility vehicles,NOUN_CHUNK,NOUN_CHUNK
211,police,launched,manhunt,NOUN_CHUNK,NOUN_CHUNK
212,200 people,taking,turns,NOUN_CHUNK,NOUN_CHUNK
213,state government,granted,multiple lease,NOUN_CHUNK,NOUN_CHUNK
214,company,terminated,contracts,NOUN_CHUNK,NOUN_CHUNK
215,Congress MLAs,visited,villagers,NOUN_CHUNK,NOUN_CHUNK
216,announcements,took,place,NOUN_CHUNK,NOUN_CHUNK
217,City Union Bank,posted,18 % growth,ORG,NOUN_CHUNK
218,Surat rural police,brought,Sejal Patel,NOUN_CHUNK,PERSON
219,Saurashtra oil millers,discuss,issue,NOUN_CHUNK,NOUN_CHUNK
220,accused,reached,compromise,NOUN_CHUNK,NOUN_CHUNK
221,maximum temperatures,crossed,43 ° C,NOUN_CHUNK,NOUN_CHUNK
222,weather station,recorded,highest temperature,NOUN_CHUNK,NOUN_CHUNK
223,Ahmedabad city,saw,maximum temperature,GPE,NOUN_CHUNK
224,Relative humidity,ranged,between 45% and 24%,NOUN_CHUNK,PERCENT
225,northwesterly winds,bring,moisture,NOUN_CHUNK,NOUN_CHUNK
226,Ahmedabad city,see,maximum 43 ° C,GPE,NOUN_CHUNK
227,Indian businesses,face,huge penalties,NOUN_CHUNK,NOUN_CHUNK
228,diversity,joined,multinational company,NOUN_CHUNK,NOUN_CHUNK
229,firm,one-fourth of,strong preference,NOUN_CHUNK,NOUN_CHUNK
230,Dalits,claimed,ownership,NOUN_CHUNK,NOUN_CHUNK
231,accused,claimed,grants,NOUN_CHUNK,NOUN_CHUNK
232,ACB,arrested,Suresh Kishori,ORG,PERSON
233,The Surat People's Cooperative Bank,approved,merger,ORG,NOUN_CHUNK
234,The Surat People's Cooperative Bank,starting,Surat People Cooperative Bank 30th branch,ORG,NOUN_CHUNK
235,The Surat Municipal Corporation (SMC,set up,quick response team,ORG,NOUN_CHUNK
236,Scientists,found,evidence,NOUN_CHUNK,NOUN_CHUNK
237,human,suffers from,fever,NOUN_CHUNK,NOUN_CHUNK
238,Congress workers,held,unique protest,NOUN_CHUNK,NOUN_CHUNK
239,Jagani,withdrew,petition,ORG,NOUN_CHUNK
240,guest,had,argument,NOUN_CHUNK,NOUN_CHUNK
241,Police,recovered,27 stamps,NOUN_CHUNK,NOUN_CHUNK
242,Police,recovered,stamp making machine,NOUN_CHUNK,NOUN_CHUNK
243,police,arrested,Bharat Patel,NOUN_CHUNK,PERSON
244,residents,taken,farm loan,NOUN_CHUNK,NOUN_CHUNK
245,Security company InfySec,seen,3x jump,ORG,NOUN_CHUNK
246,TN,produces,only 5-6 lakh bales,GPE,QUANTITY
247,Textile mills,procure,nearly 60 lakh bales,NOUN_CHUNK,QUANTITY
248,colleges,managed,74th rank,NOUN_CHUNK,NOUN_CHUNK
249,state,has,45 eligible colleges,NOUN_CHUNK,NOUN_CHUNK
250,Bombay high court,denied,interim relief,NOUN_CHUNK,NOUN_CHUNK
251,anti - extortion cell,investigating,Neeraj Grover murder case,NOUN_CHUNK,NOUN_CHUNK
252,Ghatkopar businessman,filed,complaint,NOUN_CHUNK,NOUN_CHUNK
253,Labana,approached,police,ORG,NOUN_CHUNK
254,thieves,stole,silver gold ornaments,NOUN_CHUNK,NOUN_CHUNK
255,police,“,superior fire power,NOUN_CHUNK,NOUN_CHUNK
256,Congress,The city,rally,ORG,NOUN_CHUNK
257,Aniket,secured,620 votes,ORG,NOUN_CHUNK
258,Pravin Pote,secured,458 of the 488 votes,PERSON,CARDINAL
259,Bajoriya,defeated,Suresh Deshmukh,NOUN_CHUNK,PERSON
260,Sena,seen,candidate,ORG,NOUN_CHUNK
261,Sena candidate Narendra Darade,defeated,NCP nominee Shivaji Sahane,PERSON,PERSON
262,the Election Commission,deferred,counting,ORG,NOUN_CHUNK
263,husband,expressed,dissatisfaction,NOUN_CHUNK,NOUN_CHUNK
264,husband,demanded,fast track court,NOUN_CHUNK,NOUN_CHUNK
265,Malsinh Bhil,smuggling,liquor stock,PERSON,NOUN_CHUNK
266,Cops,kept,watch,NOUN_CHUNK,NOUN_CHUNK
267,Police,found,cans,NOUN_CHUNK,NOUN_CHUNK
268,smoke,charred,walls,NOUN_CHUNK,NOUN_CHUNK
269,Railway Board chairman Ashwani Lohani,inspected,Dabhoi Chandod narrow gauge line,PERSON,NOUN_CHUNK
270,civic body,razed,"1,428 houses",NOUN_CHUNK,NOUN_CHUNK
271,Postwalla,moved,court,PERSON,NOUN_CHUNK
272,wood cutting storage unit,affected,adjoining factory,NOUN_CHUNK,NOUN_CHUNK
273,AFES,recorded,84 incidents,ORG,NOUN_CHUNK
274,settings,include,industrial areas,NOUN_CHUNK,NOUN_CHUNK
275,Challenge,accepted,India cricket captain Virat Kohli,ORG,PERSON
276,The DEO,declare,programme,ORG,NOUN_CHUNK
277,youth,enrolled,youth,NOUN_CHUNK,NOUN_CHUNK
278,Art films,hesitation,profits,NOUN_CHUNK,NOUN_CHUNK
279,movie,made,decent profits,NOUN_CHUNK,NOUN_CHUNK
280,Ashwin’s ‘Nadigaiyar Thilagam,received,Ashwin Nadigaiyar Thilagam share,WORK_OF_ART,NOUN_CHUNK
281,producers,explore,sensitive topics,NOUN_CHUNK,NOUN_CHUNK
282,The state urban development department,issued,notification,ORG,NOUN_CHUNK
283,approvals,take,long time,NOUN_CHUNK,NOUN_CHUNK
284,government,proposed,19 lakh houses,NOUN_CHUNK,NOUN_CHUNK
285,housing activist Chandrashekhar Prabhu,voiced,concern,PERSON,NOUN_CHUNK
286,city sessions court,sent,Geeta Shah,NOUN_CHUNK,PERSON
287,the PMO,expressed,displeasure,ORG,NOUN_CHUNK
288,development plans,included,bullet train project,NOUN_CHUNK,NOUN_CHUNK
289,the PMO,reviewed,infrastructure projects,ORG,NOUN_CHUNK
290,Chief secretary J N Singh,represents,Gujarat,PERSON,GPE
291,Chief secretary department secretaries,attend,meeting,NOUN_CHUNK,NOUN_CHUNK
292,Status,|,"Rs 1,08,000 cr",NOUN_CHUNK,NOUN_CHUNK
293,district level officials,shown in,documents,NOUN_CHUNK,NOUN_CHUNK
294,Crime branch,registered,FIR,NOUN_CHUNK,NOUN_CHUNK
295,Special Operations Group,nabbed,one Ronak Raval,ORG,PERSON
296,Raval,killed,17-year-old Sagar Omprakash Verma,ORG,PERSON
297,struggle,brought,results,NOUN_CHUNK,NOUN_CHUNK
298,the forest department,takes up,plantation activity,ORG,NOUN_CHUNK
299,MLA Shailesh Parmar,met,victim family,ORG,NOUN_CHUNK
300,Congress,raised,issue,ORG,NOUN_CHUNK
301,Congress leaders,demanded,allocation,NOUN_CHUNK,NOUN_CHUNK
302,CID crime,booked,Surat businessman Shailesh Bhatt,NOUN_CHUNK,PERSON
303,“Bhatt,extorted,"2,250 Bitcoins",PERSON,NOUN_CHUNK
304,Dilip Kanani,paid,Rs 1.50 crore,PERSON,ORG
305,Nikunj Bhatt,flees,state,PERSON,NOUN_CHUNK
306,persons,own,fleets,NOUN_CHUNK,NOUN_CHUNK
307,Kanani,has,high end automatic luxury cars,WORK_OF_ART,NOUN_CHUNK
308,Kirit Wala,owns,luxury car,PERSON,NOUN_CHUNK
309,Shahibaug police,registered,FIR,NOUN_CHUNK,NOUN_CHUNK
310,Haryana government,notified,acquisition,NOUN_CHUNK,NOUN_CHUNK
311,the Supreme Court,enhanced,the Supreme Court,ORG,ORG
312,Haryana government,challenged,Haryana government,NOUN_CHUNK,NOUN_CHUNK
313,site plan,depicts,sold patches,NOUN_CHUNK,NOUN_CHUNK
314,mutual blind spots,pose,risk,NOUN_CHUNK,NOUN_CHUNK
315,screens,command,larger share,NOUN_CHUNK,NOUN_CHUNK
316,People,want,connectivity,NOUN_CHUNK,NOUN_CHUNK
317,three had total rewards of Rs8 lakh on alias Tirupati heads,had,total rewards,CARDINAL,NOUN_CHUNK
318,Tipagadh dalam members,had,reward,NOUN_CHUNK,NOUN_CHUNK
319,bank,had,Sikh chairman,NOUN_CHUNK,NOUN_CHUNK
320,team leader,submit,investigation reports,NOUN_CHUNK,NOUN_CHUNK
321,team,use,sampling equipment,NOUN_CHUNK,NOUN_CHUNK
322,May 22,highlighted,problems,DATE,NOUN_CHUNK
323,Navin Uttam,welcomed,development,PERSON,NOUN_CHUNK
324,shutdowns,throw,life,NOUN_CHUNK,NOUN_CHUNK
325,Jet,declared,Q4 FY 18 loss,NOUN_CHUNK,NOUN_CHUNK
326,Jet group,reported,loss,NOUN_CHUNK,NOUN_CHUNK
327,Jet Airways,spent,"Rs 2,063.3 crore",ORG,ORG
328,inmates,lodged at,premises,NOUN_CHUNK,NOUN_CHUNK
329,juveniles,picked up,fight,NOUN_CHUNK,NOUN_CHUNK
330,fight,taken,place,NOUN_CHUNK,NOUN_CHUNK
331,The Directorate General Fire Service,organized,39th standing fire advisory council meeting,ORG,NOUN_CHUNK
332,NMC,constructing,centre,ORG,NOUN_CHUNK
333,Uttarakhand government,invited,bloggers,NOUN_CHUNK,NOUN_CHUNK
334,Tehri lake festival,holds,immense potential,EVENT,NOUN_CHUNK
335,rate,is,paternity tests,NOUN_CHUNK,NOUN_CHUNK
336,FSLs,entertain,private cases,NOUN_CHUNK,NOUN_CHUNK
